# Region type : patch inlet
# Faces         : 30
# Area          : 2.97167293e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(phi)
0.000236403     	-3.95139887e-04
0.000236933     	-3.95139887e-04
0.000237467     	-3.95139887e-04
0.000238007     	-3.95139887e-04
0.000238553     	-3.95139887e-04
0.000239104     	-3.95139887e-04
0.000239662     	-3.95139887e-04
0.000240229     	-3.95139887e-04
0.000240804     	-3.95139887e-04
0.000241387     	-3.95139887e-04
0.000241964     	-3.95139887e-04
0.000242534     	-3.95139887e-04
0.000243099     	-3.95139887e-04
0.000243659     	-3.95139887e-04
0.000244213     	-3.95139887e-04
0.000244766     	-3.95139887e-04
0.000245314     	-3.95139887e-04
0.000245861     	-3.95139887e-04
0.000246404     	-3.95139887e-04
0.000246944     	-3.95139887e-04
0.000247483     	-3.95139887e-04
0.000248022     	-3.95139887e-04
0.000248559     	-3.95139887e-04
0.000249094     	-3.95139887e-04
0.00024963      	-3.95139887e-04
0.000250165     	-3.95139887e-04
0.0002507       	-3.95139887e-04
0.000251235     	-3.95139887e-04
0.00025177      	-3.95139887e-04
0.000252307     	-3.95139887e-04
0.000252844     	-3.95139887e-04
0.000253383     	-3.95139887e-04
0.000253924     	-3.95139887e-04
0.000254465     	-3.95139887e-04
0.000255008     	-3.95139887e-04
0.000255553     	-3.95139887e-04
0.000256098     	-3.95139887e-04
0.000256646     	-3.95139887e-04
0.000257195     	-3.95139887e-04
0.000257748     	-3.95139887e-04
0.000258304     	-3.95139887e-04
0.000258862     	-3.95139887e-04
0.000259424     	-3.95139887e-04
0.000259991     	-3.95139887e-04
0.000260565     	-3.95139887e-04
0.000261143     	-3.95139887e-04
0.000261729     	-3.95139887e-04
0.000262323     	-3.95139887e-04
0.000262924     	-3.95139887e-04
0.00026353      	-3.95139887e-04
0.000264132     	-3.95139887e-04
0.000264728     	-3.95139887e-04
0.000265318     	-3.95139887e-04
0.000265904     	-3.95139887e-04
0.000266484     	-3.95139887e-04
0.000267062     	-3.95139887e-04
0.000267635     	-3.95139887e-04
0.000268206     	-3.95139887e-04
0.000268774     	-3.95139887e-04
0.00026934      	-3.95139887e-04
0.000269903     	-3.95139887e-04
0.000270466     	-3.95139887e-04
0.000271027     	-3.95139887e-04
0.000271588     	-3.95139887e-04
0.000272148     	-3.95139887e-04
0.000272709     	-3.95139887e-04
0.00027327      	-3.95139887e-04
0.000273831     	-3.95139887e-04
0.000274394     	-3.95139887e-04
0.00027496      	-3.95139887e-04
0.000275525     	-3.95139887e-04
0.000276094     	-3.95139887e-04
0.000276667     	-3.95139887e-04
0.000277244     	-3.95139887e-04
0.000277823     	-3.95139887e-04
0.000278407     	-3.95139887e-04
0.000278998     	-3.95139887e-04
0.000279594     	-3.95139887e-04
0.000280196     	-3.95139887e-04
0.000280804     	-3.95139887e-04
0.000281418     	-3.95139887e-04
0.000282042     	-3.95139887e-04
0.000282677     	-3.95139887e-04
0.000283318     	-3.95139887e-04
0.000283959     	-3.95139887e-04
0.000284589     	-3.95139887e-04
0.000285213     	-3.95139887e-04
0.00028583      	-3.95139887e-04
0.000286441     	-3.95139887e-04
0.000287048     	-3.95139887e-04
0.000287649     	-3.95139887e-04
0.000288247     	-3.95139887e-04
0.000288841     	-3.95139887e-04
0.000289432     	-3.95139887e-04
0.00029002      	-3.95139887e-04
0.000290609     	-3.95139887e-04
0.000291194     	-3.95139887e-04
0.000291782     	-3.95139887e-04
0.00029237      	-3.95139887e-04
0.000292958     	-3.95139887e-04
0.000293549     	-3.95139887e-04
0.000294144     	-3.95139887e-04
0.000294739     	-3.95139887e-04
0.000295337     	-3.95139887e-04
0.000295938     	-3.95139887e-04
0.000296543     	-3.95139887e-04
0.000297156     	-3.95139887e-04
0.000297771     	-3.95139887e-04
0.000298395     	-3.95139887e-04
0.000299026     	-3.95139887e-04
0.000299665     	-3.95139887e-04
0.000300312     	-3.95139887e-04
0.000300968     	-3.95139887e-04
0.000301633     	-3.95139887e-04
0.000302302     	-3.95139887e-04
0.000302962     	-3.95139887e-04
0.000303618     	-3.95139887e-04
